Reference,SRR12717688,SRR12717689,SRR12717690,SRR12717691,SRR12717692,SRR12717693,SRR12717694,SRR12717695,SRR12717696,SRR12717697,SRR12717698
GCA_016781925.1,0.006040209746681565,0.031543680244802724,0.012407465772224041,0.017563812870252164,0.03009894004560128,0.08103642299465275,0.04025483918505092,0.04367398405743476,0.005933617361289887,0.04384839020834075,0.0982101654669606
GCA_016782125.1,0.0014540843629115574,0.0013762488803094367,0.0,0.0010670695622978165,0.0013251229471475969,0.0009824954438188212,0.0008266039774108246,0.0025583339672178335,0.0,0.030994994518440636,0.0010415455819050327
GCA_016782225.1,0.006776633601790896,0.02371305664609383,0.027449725115247858,0.006084881093776654,0.0010963902355826203,0.0009697354131212264,0.00036992320334112066,0.26430667320972356,0.003455419970392919,0.06621960492692086,0.06609405562695997
GCA_016782315.1,0.07540532436009227,0.1983349274712639,0.1793751524452877,0.11525479342092007,0.0003303733011681758,0.00021683377997204581,0.0005683537953329593,0.13425545613795417,0.0853902906526424,0.004068969844816487,0.007142063693348231
GCA_030446625.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004438043947388689,0.0,0.0
GCA_030446685.1,0.0,0.0,0.0,0.0,0.0017878995120841755,0.0012983091946838492,0.001896261432855029,0.0015101218661056717,0.000460696058153556,0.0014670511110930202,0.0014443688340833908
GCA_030446765.1,0.0014881760053057223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015042028901316729,0.0
GCA_030446955.1,0.01072341940874424,0.005062961619869158,0.022252259597069165,0.013572829988366503,0.00043055870031880907,0.0009383602743489755,0.0,0.0,0.00994129780871161,0.0,0.0
GCA_030447245.1,0.0004839877629560485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016497524601677674,0.0,0.0
GCA_030447955.1,0.0009592018934843216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007128816287985702,0.0,0.0
GCA_030773235.1,0.00024609897554973565,0.0011629352056124,0.0027168691734915248,0.005137334541580583,0.22746845440693705,0.10515577191082609,0.22959069557467432,0.011019064237497113,0.00031013992771830194,0.020724195869806044,0.013769768708540539
GCA_030773375.1,0.0065649069030472235,0.004649306469742474,0.006159754568901227,0.016607518479449905,0.004479347490312982,0.0015118168719517868,0.0012881543189297946,0.00357173613985079,0.009219437697976254,0.009400312402414599,0.005242447830151795
GCA_030773395.1,0.0,0.0031013641249715714,0.019104503025678534,0.014357746268293049,0.011382312512622905,0.00505412073847634,0.025723586691803437,0.0015675170237183268,0.0,0.008504589697574137,0.0005798471091801772
GCA_030773415.1,0.0,0.002739804612340537,0.00804842221511051,0.011249181724354894,0.025131338456972546,0.0058837934283296495,0.01712401946985999,0.0011827105340525858,0.0,0.0037319545495605065,0.0012148137326485297
GCA_030773435.1,0.0010878586308457482,0.002784758747550574,0.0023124711605813776,0.0,0.0,0.0008736822331418862,0.0009864278948957456,0.0,0.000838272970219766,0.00046788180273346213,0.0007381512592052757
GCA_030773455.1,0.0,0.002787841771416463,0.003433361549851093,0.0013313474958691176,0.0036106464586688407,0.0037334441013272732,0.0035537370893115815,0.0,0.0,0.0006352857358085102,0.0005437210611803237
GCA_030773495.1,0.0,0.0010674508110426683,0.0013865607637371974,0.0005037284237318528,0.0,0.0,0.0,0.0,0.0,0.0,0.002387390475969659
GCA_030773535.1,0.0016827818294630848,0.018483085457092607,0.0439935660218668,0.01492531852175866,0.04082462711765195,0.021302258074226112,0.042712798005682236,0.013921512572408671,0.0028833547418110755,0.023453481325788554,0.012942979387928388
GCA_030773555.1,0.0002245532141897835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021351728788140804,0.0,0.0
GCA_030773575.1,0.01101712616313093,0.005533763475174908,0.0017028727214627732,0.0009657588167742252,0.0007490686024907232,0.0015089857962238746,0.0005789158063923204,0.0010281550882748432,0.010650803564072792,0.0036606397379533497,0.0036875435834439582
GCA_030773595.1,0.0,0.001675857849463029,0.0020901415157423267,0.006693963252370322,0.027305093981369308,0.00883888762150185,0.007486485718868424,0.002027080660015981,0.0,0.004288413019671462,0.003008351256310214
GCA_030773615.1,0.0012302947353774023,0.001704918317375556,0.004610983911225335,0.002528923180591049,0.014116819914356406,0.007921004414699928,0.011162544287354007,0.00656679639294014,0.002482115416194333,0.008322515078122162,0.004053304123531532
GCA_030777185.1,0.0,0.0,0.0,0.0015015198929193409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_035459365.1,0.0,0.0,0.0034605170711201273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_035936475.1,0.0,0.006647731351747874,0.004407660086080185,0.0,0.0,0.0,0.0,0.0,0.0,0.006484609420072257,0.0
GCA_036380115.1,0.004741218317824299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008400781682376589,0.0,0.0
GCA_036741615.1,0.0,0.003737733785965951,0.0,0.0038250510060131547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_000429085.1,0.0,0.004062587078365997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_000474275.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009166310180006069
GCF_002802985.1,0.0,0.0015026222611146957,0.002429874825075468,0.0,0.0,0.0,0.0008021843729671178,0.0,0.0,0.0,0.0
GCF_003030305.1,0.0023116661428411456,0.006145460377887253,0.0,0.0010314744958441464,0.00038384353331862627,0.00021249818116844435,0.00037062374905187586,0.0010228669078276866,0.0013994649799521184,0.0003451799233446488,0.0010192183606940381
GCF_003241315.1,0.001226750910129486,0.004021298547156887,0.0,0.0,0.00017654519643048672,0.0,0.00014901235230740977,0.0,0.0007684449284935231,0.0,0.0005732191926236988
GCF_006742205.1,0.0007401460681229508,0.002409566125414922,0.0,0.0,0.0,0.0,0.00011597334435151194,0.0,0.0,0.0,0.00038923144172843684
GCF_010120595.1,0.0012123863440693325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_018987235.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005588870259482823,0.0,0.0
GCF_019396355.1,0.0,0.0004953742531443531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_019991125.1,0.0007348509971263713,0.0,0.0,0.0,0.0005134118191416193,0.00024117385259316126,0.0,0.0,0.0008592022676926788,0.0,0.00033478727582466494
GCF_029023865.1,0.008824751399951838,0.004472838540770952,0.1394312230011635,0.0040042329072231785,0.0006570553241127193,0.0005043936044494784,0.00039772728357019907,0.004587732105782773,0.0016340423524561659,0.0023235123877660543,0.0009402704739283645
GCF_040739495.1,0.0010059155580322066,0.0011170998567527244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003425441667322897
GCF_900458815.1,0.001531189211445562,0.003991064351619355,0.0,0.0,0.0002524066408156259,0.00019445885975794393,0.00019625800319853027,0.0,0.0008572024539246374,0.0,0.0006824887512411987
